Lang	Train	Dev	Tests
esn	JW300		
est	"EESC2017, EMA2016,OPUS_DGT_v2019, OPUS_Europarl_v8, rapid2016, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	"newsdev2018_eten,, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	newstest2018_eten
eus	"OPUS_EhuHac_v1,  OPUS_OpenSubtitles_v2016, OPUS_OpenSubtitles_v2018,  OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
ewe	"JW300,  OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS_wikimedia_v20190628"		
ext	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
fao	"OPUS_GNOME_v1,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, WikiMatrix_v1"		
fas	"GlobalVoices_2018Q4,OPUS_TEP_v1,OPUS_Tanzil_v1,OPUS_OpenSubtitles_v2018, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
fcs	JW300		
fij	"JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
fil	"GlobalVoices_2018Q4, OPUS_GlobalVoices_v2017q3, "		
fin	"europarl_v10, EESC2017, rapid2016, OPUS_DGT_v2019,europarl_v7, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	"newstest2018_fien, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	newstest2019_fien
fkv	OPUS_Tatoeba_v20190709		
fon	JW300		
fra	"wmt13_commoncrawl, europarl_v10,news_commentary_v14, OPUS_giga_fren_v2, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	"newstest2013, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	"newstest2014_fren,UNv1_test"
