#	ISO 639-3	Name	Sentences	 SourceTokens	 EnglishTokens
470	SGS	Samogitian	 43	 199	 356
471	MGM	Mambae	 33	 282	 307
472	PNT	Pontic	 5	 300	 301
473	MYV	Erzya	 33	 239	 300
474	NAP	Neapolitan	 29	 299	 249
475	IKE	Eastern Canadian Inuktitut	 43	 138	 245
476	HSB	Upper Sorbian	 36	 194	 235
477	LLD	Ladin	 20	 225	 227
478	FRM	Middle French (Ca. 1400-1600)	 17	 207	 220
479	ARY	Moroccan Arabic	 41	 148	 216
480	ROH	Romansh	 16	 205	 216
481	SMA	Southern Sami	 44	 178	 216
482	PPL	Pipil	 29	 163	 208
483	SHS	Shuswap	 39	 243	 207
484	TLY	Talysh	 43	 148	 207
485	PNB	Western Panjabi	 31	 204	 194
486	PMY	Papuan Malay	 41	 189	 186
487	SJN	Sindarin	 31	 157	 186
488	SUX	Sumerian	 36	 203	 186
489	SZL	Silesian	 34	 153	 177
490	LIV	Liv	 29	 150	 176
491	RIF	Tarifit	 34	 145	 170
492	BVY	Baybayanon	 23	 157	 163
493	MIQ	Mískito	 66	 165	 158
494	FUV	Nigerian Fulfulde	 29	 133	 157
495	AIN	Ainu (Japan)	 26	 117	 154
496	NLV	Orizaba Nahuatl	 14	 137	 154
497	GBM	Garhwali	 34	 162	 144
498	HDS	Honduras Sign Language	 12	 94	 139
499	NON	Old Norse	 13	 134	 136
500	ALN	Gheg Albanian	 25	 133	 134
