#	ISO 639-3	Name	Sentences	 SourceTokens	 EnglishTokens
	Total		473,791,285	9,001,777,125	9,072,884,192
141	MFE	Morisyen	 181,560	 4,068,226	 3,367,397
142	FRY	Western Frisian	 174,498	 2,726,426	 3,360,333
143	MON	Mongolian	 169,290	 2,406,026	 3,330,866
144	TVL	Tuvalu	 172,371	 4,970,984	 3,302,688
145	YUA	Yucateco	 168,299	 3,524,830	 3,301,268
146	KWY	San Salvador Kongo	 169,875	 2,964,934	 3,119,715
147	WLS	Wallisian	 154,488	 3,981,535	 2,871,012
148	ORM	Oromo	 155,084	 2,646,041	 2,858,967
149	GUG	Paraguayan Guaraní	 143,391	 2,151,216	 2,742,729
150	ZAI	Isthmus Zapotec	 146,783	 2,741,722	 2,741,357
151	KUR	Kurdish	 111,126	 3,090,640	 2,729,572
152	AYM	Aymara	 138,760	 1,939,507	 2,710,890
153	KHM	Khmer	 150,117	 2,966,056	 2,683,112
154	TZO	Tzotzil	 140,124	 2,993,791	 2,679,819
155	BCI	Baoulé	 142,169	 3,685,710	 2,597,887
156	SND	Sindhi	 86,214	 2,580,903	 2,566,710
157	QUE	Quechua	 134,194	 1,739,523	 2,543,319
158	LUO	Luo (Kenya And Tanzania)	 136,625	 2,603,306	 2,502,410
159	LUN	Lunda	 134,578	 1,857,219	 2,482,581
160	QUZ	Cusco Quechua	 127,408	 1,649,454	 2,450,616
161	RND	Ruund	 133,631	 2,443,228	 2,446,692
162	UZB	Uzbek	 137,566	 2,233,702	 2,360,392
163	DIV	Dhivehi	 85,159	 2,441,892	 2,350,351
164	WAL	Wolaytta	 120,608	 1,844,136	 2,325,431
165	UIG	Uighur	 84,928	 2,088,135	 2,239,573
166	SSW	Swati	 116,170	 1,690,313	 2,238,351
167	TUK	Turkmen	 121,578	 1,730,753	 2,231,716
168	QUY	Ayacucho Quechua	 113,702	 1,402,781	 2,164,966
169	NYK	Nyaneka	 116,364	 1,753,649	 2,133,198
170	TDT	Tetun Dili	 112,041	 2,385,376	 2,107,083
171	BZS	Brazilian Sign Language	 110,679	 2,044,945	 2,065,232
172	KWN	Kwangali	 106,595	 1,709,040	 1,939,056
173	KAZ	Kazakh	 248,822	 1,652,871	 1,906,753
174	KEK	Kekchí	 63,350	 2,231,030	 1,836,968
175	KUA	Kuanyama	 99,227	 1,932,349	 1,830,081
176	NDO	Ndonga	 99,817	 1,864,378	 1,810,583
177	MRI	Maori	 62,963	 2,151,493	 1,807,107
178	PCK	Paite Chin	 61,173	 1,773,303	 1,799,998
179	PES	Iranian Persian	 64,142	 1,508,974	 1,791,906
180	PLT	Plateau Malagasy	 60,810	 1,843,559	 1,789,347
181	DJE	Zarma	 60,515	 1,924,044	 1,780,607
182	LTZ	Luxembourgish	 92,860	 1,400,718	 1,744,759
183	KIK	Kikuyu	 94,242	 1,714,356	 1,737,121
184	NZI	Nzima	 92,884	 1,798,852	 1,685,594
185	TOP	Papantla Totonac	 86,769	 1,345,448	 1,620,933
186	KMB	Kimbundu	 90,341	 1,960,969	 1,617,965
187	BAK	Bashkir	 88,618	 1,216,200	 1,580,575
188	ARG	Aragonese	 82,038	 1,641,632	 1,535,954
189	TSC	Tswa	 84,311	 1,911,340	 1,534,506
190	FAO	Faroese	 75,612	 1,194,153	 1,534,477
191	JSL	Japanese Sign Language	 83,773	 2,223,227	 1,528,544
192	ISE	Italian Sign Language	 79,874	 1,497,912	 1,527,368
193	GYM	Ngäbere	 78,796	 1,624,979	 1,459,454
194	JAV	Javanese	 73,185	 1,177,647	 1,442,806
195	ASM	Assamese	 94,568	 1,027,775	 1,390,206
196	ZLM	Malay (Individual)	 72,676	 1,139,427	 1,372,948
197	VMW	Makhuwa	 72,847	 1,181,569	 1,328,856
198	ACH	Acoli	 73,172	 1,496,706	 1,325,711
199	CHV	Chuvash	 68,211	 1,032,279	 1,302,667
200	BRE	Breton	 129,742	 1,301,922	 1,286,455
201	MCO	Coatlán Mixe	 66,222	 1,102,029	 1,263,381
202	MFS	Mexican Sign Language	 63,494	 1,247,858	 1,253,416
203	TOG	Tonga (Nyasa)	 67,113	 1,053,514	 1,231,614
204	MAM	Mam	 57,254	 1,424,153	 1,171,359
205	RAR	Rarotongan	 66,762	 1,613,321	 1,170,921
206	ADA	Adangme	 63,021	 1,669,121	 1,131,992
